Comedy,238230,Fear of a Black Hat,03/06/1994,Larry B. Scott
Animation,130178411,The Peanuts Movie,06/11/2015,Noah Schnapp
Crime,89210468,Don't Breathe,26/08/2016,Stephen Lang
Action,10017322,Cutthroat Island,22/12/1995,Geena Davis
Action,202019785,The Mummy Returns,04/05/2001,Brendan Fraser
Biography,2541554,Conspiración y poder,30/10/2015,Cate Blanchett
Crime,102705852,The General's Daughter,18/06/1999,John Travolta
Action,73209340,Hollow Man,04/08/2000,Kevin Bacon
Animation,50863742,The Road to El Dorado,31/03/2000,Kevin Kline
Action,65660196,Lara Croft Tomb Raider: The Cradle of Life,25/07/2003,Angelina Jolie
Adventure,88761720,Percy Jackson & the Olympians: The Lightning Thief,12/02/2010,Logan Lerman
Animation,161321843,Ice Age: Continental Drift,13/07/2012,Ray Romano
Comedy,86907746,The Campaign,10/08/2012,Will Ferrell
Action,17223265,Seventh Son,06/02/2015,Ben Barnes
Drama,201151353,Cinderella,13/03/2015,Lily James
Comedy,14560247,Wild at Heart,17/08/1990,Nicolas Cage
Drama,30862146,Powder,27/10/1995,Mary Steenburgen
Animation,7002255,The Triplets of Belleville,13/02/2004,Michèle Caucheteux
Crime,120016,Trust,09/03/2012,Clive Owen
Crime,1007962,Hard Candy,28/04/2006,Patrick Wilson
Action,32616869,Driven,27/04/2001,Sylvester Stallone
Adventure,342551365,The Lord of the Rings: The Two Towers,18/12/2002,Elijah Wood
Adventure,377845905,The Lord of the Rings: The Return of the King,17/12/2003,Elijah Wood
Animation,380843261,Finding Nemo,30/05/2003,Albert Brooks
Drama,9213,The Flowers of War,16/12/2011,Christian Bale
Crime,739478,Drishyam,31/07/2015,Ajay Devgn
Action,63540020,The Fifth Element,09/05/1997,Bruce Willis
Action,125305545,Charlie's Angels,03/11/2000,Cameron Diaz
Adventure,315544750,The Lord of the Rings: The Fellowship of the Ring,19/12/2001,Elijah Wood
Action,181171875,Jurassic Park III,18/07/2001,Sam Neill
Action,176760185,Rise of the Planet of the Apes,05/08/2011,James Franco
Action,241721524,Twister,10/05/1996,Helen Hunt
Drama,39263420,Anna and the King,17/12/1999,Jodie Foster
Drama,108638745,Black Hawk Down,18/01/2002,Josh Hartnett
Animation,261441092,The Incredibles,05/11/2004,Craig T. Nelson
Action,110515313,Tropic Thunder,13/08/2008,Ben Stiller
Action,67349198,A Good Day to Die Hard,14/02/2013,Bruce Willis
Horror,80571655,The Texas Chainsaw Massacre,17/10/2003,Jessica Biel
Action,100012499,Die Hard with a Vengeance,19/05/1995,Bruce Willis
Drama,100920329,Contact,11/07/1997,Jodie Foster
Adventure,250690539,Men in Black,02/07/1997,Tommy Lee Jones
Action,49323468,Volcano,25/04/1997,Tommy Lee Jones
Animation,120620254,Mulan,19/06/1998,Ming-Na Wen
Drama,44619100,Meet Joe Black,13/11/1998,Brad Pitt
Action,111549836,Enemy of the State,20/11/1998,Will Smith
Biography,135026902,Patch Adams,25/12/1998,Robin Williams
Action,50632037,Mighty Joe Young,25/12/1998,Bill Paxton
Animation,245852179,Toy Story 2,24/11/1999,Tom Hanks
Action,81526121,Payback,05/02/1999,Mel Gibson
Action,97403112,Inspector Gadget,23/07/1999,Matthew Broderick
Adventure,233632142,Cast Away,22/12/2000,Tom Hanks
Action,101648571,Gone in Sixty Seconds,09/06/2000,Nicolas Cage
Horror,14218868,Supernova,14/01/2000,James Spader
Action,226164286,Rush Hour 2,03/08/2001,Jackie Chan
Comedy,6719973,Town & Country,27/04/2001,Warren Beatty
Comedy,75847266,The Haunted Mansion,26/11/2003,Eddie Murphy
Comedy,59484742,The Stepford Wives,11/06/2004,Nicole Kidman
Crime,132384315,The Departed,06/10/2006,Leonardo DiCaprio
Drama,59952835,The Good Shepherd,22/12/2006,Matt Damon
